12	 	0149	+1.3	0511	0836	-2.3	1147	1423	+1.3	1743	2108	-2.3	 	 	 
13	0019	0257	+1.4	0616	0941	-2.3	1250	1529	+1.4	1845	2214	-2.4	 	 	 
14	0124	0403	+1.4	0718	1046	-2.4	1350	1631	+1.4	1944	2318	-2.5	 	 	 
15	0224	0504	+1.5	0816	1147	-2.5	1447	1729	+1.5	2041	 	 	 	 	 
16	 	0017	-2.5	0320	0601	+1.5	0912	1244	-2.5	1540	1823	+1.6	2134	 	 
17	 	0112	-2.6	0413	0654	+1.6	1004	1336	-2.5	1631	1914	+1.6	2225	 	 
18	 	0203	-2.6	0504	0744	+1.6	1054	1426	-2.5	1721	2003	+1.6	2315	 	 
19	 	0252	-2.6	0554	0833	+1.6	1143	1514	-2.5	1811	2052	+1.6	 	 	 
20	0004	0339	-2.5	0643	0921	+1.5	1232	1600	-2.4	1900	2140	+1.5	 	 	 
21	0052	0425	-2.5	0732	1009	+1.4	1320	1646	-2.3	1949	2228	+1.4	 	 	 
22	0141	0511	-2.4	0822	1057	+1.3	1408	1733	-2.2	2040	2318	+1.3	 	 	 
23	0230	0558	-2.2	0912	1147	+1.2	1458	1821	-2.1	2133	 	 	 	 	 
24	 	0009	+1.2	0321	0647	-2.1	1004	1239	+1.2	1549	1911	-2.0	2227	 	 
25	 	0103	+1.2	0413	0737	-2.0	1056	1333	+1.2	1641	2004	-2.0	2321	 	 
26	 	0158	+1.1	0506	0830	-2.0	1148	1426	+1.1	1732	2057	-2.0	 	 	 
27	0014	0251	+1.1	0558	0923	-2.0	1238	1516	+1.2	1822	2149	-2.0	 	 	 
28	0104	0341	+1.2	0648	1013	-2.0	1326	1603	+1.2	1910	2238	-2.1	 	 	 
29	0151	0428	+1.2	0735	1100	-2.1	1410	1646	+1.2	1955	2323	-2.2	 	 	 
30	0236	0511	+1.3	0821	1145	-2.2	1452	1727	+1.3	2039	 	 	 	 	 
31	 	0007	-2.3	0318	0552	+1.3	0905	1228	-2.3	1533	1808	+1.4	2121	 	 
1	 	0050	-2.4	0400	0633	+1.4	0947	1310	-2.4	1613	1848	+1.4	2203	 	 
2	 	0132	-2.5	0441	0714	+1.4	1029	1352	-2.4	1653	1929	+1.4	2245	 	 
3	 	0216	-2.5	0523	0755	+1.4	1112	1436	-2.5	1734	2012	+1.5	2329	 	 
4	 	0300	-2.5	0606	0838	+1.4	1155	1520	-2.5	1817	2056	+1.5	 	 	 
5	0014	0345	-2.5	0651	0924	+1.4	1241	1607	-2.5	1904	2143	+1.5	 	 	 
6	0101	0433	-2.5	0738	1012	+1.4	1329	1656	-2.5	1955	2234	+1.4	 	 	 
7	0153	0524	-2.5	0830	1104	+1.4	1422	1749	-2.4	2051	2329	+1.4	 	 	 
8	0248	0618	-2.4	0926	1200	+1.4	1519	1846	-2.4	2153	 	 	 	 	 
9	 	0029	+1.4	0348	0716	-2.4	1026	1301	+1.4	1619	1946	-2.4	2258	 	 
10	 	0133	+1.4	0451	0817	-2.3	1129	1405	+1.4	1722	2050	-2.4	 	 	 
11	0004	0240	+1.4	0555	0922	-2.3	1232	1510	+1.4	1824	2157	-2.4	 
12	0108	0346	+1.4	0657	1027	-2.3	1332	1613	+1.4	1924	2302	-2.4	 	 	 
